text_id,text_title,text_file
1,The Revolt,./data_in\zapatistas-ch1.txt
10,Returning to the Communities,./data_in\zapatistas-ch10.txt
11,The Consultations,./data_in\zapatistas-ch11.txt
12,Rejecting the Government's Offer,./data_in\zapatistas-ch12.txt
2,The First Days,./data_in\zapatistas-ch2.txt
3,The Cease - Fire,./data_in\zapatistas-ch3.txt
4,Solidarity,./data_in\zapatistas-ch4.txt
5,Broadening the Struggle,./data_in\zapatistas-ch5.txt
6,Building Ties,./data_in\zapatistas-ch6.txt
7,Before the Dialogue,./data_in\zapatistas-ch7.txt
8,The Dialogue,./data_in\zapatistas-ch8.txt
9,Concluding the Dialogue,./data_in\zapatistas-ch9.txt
