term_id,term_str,n,num,pos_max,stop,p_stem
0,,1033,0,:,0,
1,000001,1,1,CD,0,000001
2,001,1,1,CD,0,001
3,002,1,1,CD,0,002
4,029,1,1,CD,0,029
5,036,1,1,CD,0,036
6,038,1,1,CD,0,038
7,044,1,1,CD,0,044
8,055,1,1,CD,0,055
9,062,1,1,CD,0,062
10,1,48,1,CD,0,1
11,10,58,1,CD,0,10
12,100,10,1,CD,0,100
13,1000,1,1,CD,0,1000
14,10000,2,1,CD,0,10000
15,10s,2,1,CD,0,10
16,11,11,1,CD,0,11
17,110,1,1,CD,0,110
18,110000,1,1,CD,0,110000
19,112,1,1,CD,0,112
20,1130,1,1,CD,0,1130
21,116,1,1,CD,0,116
22,119,1,1,CD,0,119
23,12,25,1,CD,0,12
24,120,1,1,CD,0,120
25,1200,1,1,CD,0,1200
26,125,1,1,CD,0,125
27,126,1,1,CD,0,126
28,1266,1,1,CD,0,1266
29,127,1,1,CD,0,127
30,13,17,1,CD,0,13
31,130,2,1,CD,0,130
32,131994,1,1,CD,0,131994
33,133rd,1,1,CD,0,133rd
34,136,2,1,CD,0,136
35,1364,1,1,CD,0,1364
36,14,3,1,CD,0,14
37,15,23,1,CD,0,15
38,1500,1,1,CD,0,1500
39,150000,2,1,CD,0,150000
40,15s,3,1,CD,0,15
41,16,12,1,CD,0,16
42,16s,3,1,CD,0,16
43,17,6,1,CD,0,17
44,18,9,1,CD,0,18
45,180,2,1,CD,0,180
46,1810,2,1,NNP,0,1810
47,1846,1,1,CD,0,1846
48,19,4,1,CD,0,19
49,1910,3,1,CD,0,1910
50,1914,1,1,CD,0,1914
51,1917,1,1,CD,0,1917
52,1919,4,1,CD,0,1919
53,1958,1,1,CD,0,1958
54,1968,2,1,CD,0,1968
55,1970s,1,1,CD,0,1970
56,1974,2,1,CD,0,1974
57,1983,2,1,CD,0,1983
58,1984,1,1,CD,0,1984
59,1985,1,1,CD,0,1985
60,1987,1,1,CD,0,1987
61,1988,3,1,CD,0,1988
62,1991,1,1,CD,0,1991
63,1992,2,1,CD,0,1992
64,1993,12,1,CD,0,1993
65,1994,154,1,CD,0,1994
66,1995,1,1,CD,0,1995
67,2,14,1,CD,0,2
68,20,15,1,CD,0,20
69,200,1,1,NNS,0,200
70,207,1,1,CD,0,207
71,21,9,1,CD,0,21
72,211,1,1,CD,0,211
73,21st,2,1,JJ,0,21st
74,22,7,1,CD,0,22
75,221,1,1,CD,0,221
76,224,1,1,CD,0,224
77,225,1,1,CD,0,225
78,227,1,1,CD,0,227
79,23,10,1,CD,0,23
80,230,2,1,CD,0,230
81,24,11,1,CD,0,24
82,25,11,1,CD,0,25
83,25000,1,1,CD,0,25000
84,26,9,1,CD,0,26
85,26th,1,1,CD,0,26th
