text_id,section_num,para_num,para_str
1,1,0,"[The Mexican Awakener [El Despertador Mexicano] is the newspaper of the EZLN, issued on January 1 in conjunction with the uprising. It was the first document released by the Zapatistas. It contains their Declaration of War, an editorial, and the revolutionary laws.]"
1,1,1,El Despertador Mexicano Declaration of War
1,1,2,[from a photocopy of the original]
1,1,3,"Lacandona Jungle, December 31, 1993"
1,1,4,TODAY WE SAY ENOUGH IS ENOUGH! TO THE PEOPLE OF MEXICO: MEXICAN BROTHERS AND SISTERS:
1,1,5,"We are the product of 500 years of struggle: first against slavery, then during the War of Independence against Spain led by insurgents, then to avoid being absorbed by North American imperialism, then to promulgate our constitution and expel the French Empire from our soil, and later the dictatorship of Porfirio Díaz denied us the just application of the Reform Laws, and the people rebelled and leaders like Villa and Zapata emerged, poor people just like us. We have been denied the most elemental preparation so that they can use us as cannon fodder and pillage the wealth of our country. They don't care that we have nothing, absolutely nothing, not even a roof over our heads: no land, no work, no health care, no food, no education. Nor are we able to freely and democratically elect our political representatives, nor is there independence from foreigners, nor is there peace nor justice for ourselves and our children."
1,1,6,"But today, we say ENOUGH IS ENOUGH. We are the inheritors of the true builders of our nation. The dispossessed, we are millions, and we thereby call upon our brothers and sisters to join this struggle as the only path, so that we will not die of hunger due to the insatiable ambition of a 70 - year dictatorship led by a clique of traitors who represent the most conservative and sell - out groups. They are the same ones who opposed Hidalgo and Morelos, the same ones who betrayed Vincente Guerrero, the same ones who sold half our country to the foreign invader, the same ones who imported a European prince to rule our country, the same ones who formed the ""scientific"" Porfirista dictatorship, the same ones who opposed the Petroleum Expropriation, the same ones who massacred the railroad workers in 1958 and the students in 1968, the same ones who today take everything from us, absolutely everything."
1,1,7,"To prevent the continuation of the above, and as our last hope, after having tried to utilize all legal means based on our Constitution, we go to our Constitution, to apply Article 39, which says:"
1,1,8,"""National Sovereignty essentially and originally resides in the people. All political power emanates from the people and its purpose is to help the people. The people have, at all times, the inalienable right to alter or modify their form of government."""
1,1,9,"Therefore, according to our Constitution, we declare the following to the Mexican Federal Army, the pillar of the Mexican dictatorship that we suffer from, monopolized by a one - party system and led by Carlos Salinas de Gortari, the supreme and illegitimate federal executive who today holds power."
1,1,10,"According to this Declaration of War, we ask that other powers of the nation advocate to restore the legitimacy and the stability of the nation by overthrowing the dictator."
1,1,11,"We also ask that international organizations and the International Red Cross watch over and regulate our battles, so that our efforts are carried out while still protecting our civilian population. We declare now and always that we are subject to the Geneva Accord, forming the EZLN as the fighting arm of our liberation struggle. We have the Mexican people on our side, we have the beloved tri - colored flag, highly respected by our insurgent fighters. We use black and red in our uniform as a symbol of our working people on strike. Our flag carries the following letters, ""EZLN,"" Zapatista National Liberation Army, and we always carry our flag into combat."
1,1,12,"Beforehand, we reject any effort to disgrace our just cause by accusing us of being drug traffickers, drug guerrillas, thieves or other names that might by used by our enemies. Our struggle follows the Constitution, which is held high by its call for justice and equality."
1,1,13,"Therefore, according to this declaration of war, we give our military forces, the EZLN, the following orders:"
1,1,14,"First: Advance to the capital of the country, overcoming the Mexican Federal Army, protecting in our advance the civilian population and permitting the people in the liberated area the right to freely and democratically elect their own administrative authorities."
1,1,15,Second: Respect the lives of our prisoners and turn over all wounded to the International Red Cross.
1,1,16,"Third: Initiate summary judgments against all soldiers of the Mexican Federal Army and the political police who have received training or have been paid by foreigners, accused of being traitors to our country, and against all those who have repressed and treated badly the civilian population, and robbed, or stolen from, or attempted crimes against the good of the people."
