term_str,term_id,n,num,pos_max,stop,p_stem,term_code,p,s,i,h,wlen,term_rank,zipf_k,zipf_y,df,idf,tfidf_sum_text_max,tfidf_sum_secs_max,tfidf_sum_paras_max
the,7317,9747,0,DT,1,the,the/DT,0.07416905095269982,13.482712629527034,3.7530388809809905,0.2783593319909426,3,1,9747,9127.54,2114,0.42439077389167595,0.0,0.0,776.0283826589758
of,5069,4471,0,IN,1,of,of/IN,0.034021732513544775,29.392976962648177,4.877399579488988,0.1659375838550501,2,2,8942,4563.77,1638,0.7924307936333503,0.0,0.0,683.1360317122659
to,7407,4322,0,TO,1,to,to/TO,0.03288792841054362,30.4062933826932,4.926298053172123,0.16201573770172517,2,3,12966,3042.513333333334,1529,0.8917777439135541,0.0,0.0,749.0636124079083
and,475,4154,0,CC,1,and,and/CC,0.03160954526085104,31.636013480982186,4.983495909186982,0.1575260394987119,3,4,16616,2281.885,1579,0.845354979414122,0.0,0.0,689.4183105092568
that,7313,3049,0,IN,1,that,that/IN,0.0232011322822183,43.10134470318137,5.429660975021882,0.12597428252908108,4,5,15245,1825.5080000000003,1185,1.2594790914887375,0.0,1.4765752637576814,666.4467599681324
we,7930,2529,0,PRP,1,we,we/PRP,0.019244232056979362,51.9636219849743,5.699430088368392,0.10968115521309173,2,6,15174,1521.256666666667,900,1.6563692440573219,0.0,4.333475686084137,734.768892839868
in,3779,2385,0,IN,1,in,in/IN,0.018148475071528582,55.10104821802935,5.7840078591387565,0.10497092244510513,2,7,16695,1303.9342857142858,1152,1.3002254338320467,0.0,0.0,589.2719901251425
a,160,1893,0,DT,1,a,a/DT,0.014404638704571742,69.42208135235076,6.1173227143279245,0.08811782353916389,1,8,15144,1140.9425,936,1.5997857156909543,0.0,2.077328561095995,601.8003935801136
is,4029,1679,0,VBZ,1,is,is/VBZ,0.012776222073415718,78.27039904705181,6.2903948950946,0.08036748210920919,2,9,15111,1014.1711111111113,868,1.7085992028298795,0.0,2.3215860376754645,525.7564749594201
for,3058,1353,0,IN,1,for,for/IN,0.010295550009131307,97.12934220251294,6.601835286055093,0.0679695253396279,3,10,13530,912.7540000000001,801,1.8244920028656488,0.0,0.6607146295624926,497.1120826845616
they,7339,1314,0,PRP,1,they,they/PRP,0.009998782492238388,100.01217656012176,6.6440318497093,0.06643222933674758,4,11,14454,829.7763636363637,614,2.2080555899041796,0.0,3.40246100355646,512.3884655143532
are,584,1257,0,VBP,1,are,are/VBP,0.00956504535216412,104.54733492442323,6.708012475611122,0.0641624435521031,3,12,15084,760.6283333333334,708,2.0025448851913614,0.0,2.656610048608349,518.938763518098
our,5185,1199,0,PRP$,1,our,our/PRP$,0.009123698788579777,109.604670558799,6.776165466617407,0.06182369265899335,3,13,15587,702.1184615384616,584,2.2803258763943415,0.0,2.681701289495174,471.6308900196168
it,4044,1191,0,PRP,1,it,it/PRP,0.009062823400499178,110.3408900083963,6.785823712167516,0.061498721930293966,2,14,16674,651.9671428571429,662,2.099463028467141,0.0,2.8149736027898253,455.5510660491702
have,3465,1130,0,VBP,1,have,have/VBP,0.008598648566384611,116.29734513274335,6.8616743527290796,0.059001126336091954,4,15,16950,608.5026666666668,679,2.062882671029627,0.0,1.8267998464179402,452.8310233209223
you,8107,1052,0,PRP,1,you,you/PRP,0.00800511353259877,124.92015209125475,6.964862420739328,0.05575451441694902,3,16,16832,570.47125,587,2.2729337421643065,0.0,3.71344578905671,729.2746863443296
not,4985,1039,0,RB,1,not,not/RB,0.007906191026967798,126.48315688161692,6.982801471127418,0.05520736233412513,3,17,17663,536.9141176470589,634,2.1618114051349515,0.0,2.0732259210603208,414.982132334681
with,8024,967,0,IN,1,with,with/IN,0.007358312534242406,135.90072388831436,7.086409330554789,0.05214401459979364,4,18,17406,507.08555555555563,627,2.17782880247232,0.0,1.922807250056195,420.8641455115556
be,818,937,0,VB,1,be,be/VB,0.007130029828940159,140.25186766275348,7.1318761723724435,0.05085048984532309,2,19,17803,480.3968421052632,612,2.2127625925817074,0.0,2.105481646905699,421.48524143068596
